date,time,age,confirmed,deceased
2020.4.17,0,20s,2909,0
2020.4.17,0,30s,1135,1
2020.4.17,0,40s,1411,3
2020.4.17,0,50s,1942,14
2020.4.17,0,60s,1342,33
2020.4.17,0,70s,704,68
2020.4.17,0,80s,480,111
2020.4.18,0,0s,138,0
2020.4.18,0,10s,576,0
2020.4.18,0,20s,2918,0
2020.4.18,0,30s,1136,1
2020.4.18,0,40s,1412,3
2020.4.18,0,50s,1944,15
2020.4.18,0,60s,1343,33
2020.4.18,0,70s,705,68
2020.4.18,0,80s,481,112
2020.4.19,0,0s,138,0
2020.4.19,0,10s,578,0
2020.4.19,0,20s,2921,0
2020.4.19,0,30s,1137,2
2020.4.19,0,40s,1412,3
2020.4.19,0,50s,1945,15
2020.4.19,0,60s,1343,34
2020.4.19,0,70s,705,68
2020.4.19,0,80s,482,112
2020.4.20,0,0s,138,0
2020.4.20,0,10s,581,0
2020.4.20,0,20s,2926,0
2020.4.20,0,30s,1139,2
2020.4.20,0,40s,1412,3
2020.4.20,0,50s,1948,15
2020.4.20,0,60s,1343,34
2020.4.20,0,70s,705,69
2020.4.20,0,80s,482,113
2020.4.21,0,0s,138,0
2020.4.21,0,10s,582,0
2020.4.21,0,20s,2928,0
2020.4.21,0,30s,1139,2
2020.4.21,0,40s,1413,3
2020.4.21,0,50s,1951,15
2020.4.21,0,60s,1343,34
2020.4.21,0,70s,706,70
2020.4.21,0,80s,483,113
2020.4.22,0,0s,138,0
2020.4.22,0,10s,583,0
2020.4.22,0,20s,2931,0
2020.4.22,0,30s,1140,2
2020.4.22,0,40s,1417,3
2020.4.22,0,50s,1951,15
2020.4.22,0,60s,1344,34
2020.4.22,0,70s,707,71
2020.4.22,0,80s,483,113
2020.4.23,0,0s,138,0
2020.4.23,0,10s,584,0
2020.4.23,0,20s,2933,0
2020.4.23,0,30s,1141,2
2020.4.23,0,40s,1418,3
2020.4.23,0,50s,1952,15
2020.4.23,0,60s,1344,35
2020.4.23,0,70s,708,71
2020.4.23,0,80s,484,114
2020.4.24,0,0s,138,0
2020.4.24,0,10s,585,0
2020.4.24,0,20s,2934,0
2020.4.24,0,30s,1142,2
2020.4.24,0,40s,1418,3
2020.4.24,0,50s,1953,15
2020.4.24,0,60s,1345,35
2020.4.24,0,70s,708,71
2020.4.24,0,80s,485,114
2020.4.25,0,0s,139,0
2020.4.25,0,10s,586,0
2020.4.25,0,20s,2937,0
2020.4.25,0,30s,1143,2
2020.4.25,0,40s,1420,3
2020.4.25,0,50s,1953,15
2020.4.25,0,60s,1347,35
2020.4.25,0,70s,708,71
2020.4.25,0,80s,485,114
2020.4.26,0,0s,140,0
2020.4.26,0,10s,586,0
2020.4.26,0,20s,2940,0
2020.4.26,0,30s,1147,2
2020.4.26,0,40s,1421,3
2020.4.26,0,50s,1953,15
2020.4.26,0,60s,1347,35
2020.4.26,0,70s,708,72
2020.4.26,0,80s,485,115
2020.4.27,0,0s,140,0
2020.4.27,0,10s,588,0
2020.4.27,0,20s,2943,0
2020.4.27,0,30s,1152,2
2020.4.27,0,40s,1422,3
2020.4.27,0,50s,1953,15
2020.4.27,0,60s,1347,35
2020.4.27,0,70s,708,72
2020.4.27,0,80s,485,116
2020.4.28,0,0s,140,0
2020.4.28,0,10s,590,0
2020.4.28,0,20s,2948,0
2020.4.28,0,30s,1154,2
2020.4.28,0,40s,1423,3
2020.4.28,0,50s,1955,15
2020.4.28,0,60s,1348,35
2020.4.28,0,70s,709,73
2020.4.28,0,80s,485,116
2020.4.29,0,0s,140,0
2020.4.29,0,10s,590,0
2020.4.29,0,20s,2951,0
2020.4.29,0,30s,1156,2
2020.4.29,0,40s,1426,3
2020.4.29,0,50s,1956,15
2020.4.29,0,60s,1348,35
2020.4.29,0,70s,709,73
2020.4.29,0,80s,485,118
2020.4.30,0,0s,140,0
2020.4.30,0,10s,590,0
2020.4.30,0,20s,2952,0
2020.4.30,0,30s,1158,2
2020.4.30,0,40s,1427,3
2020.4.30,0,50s,1956,15
2020.4.30,0,60s,1348,35
2020.4.30,0,70s,709,74
2020.4.30,0,80s,485,118
2020.5.1,0,0s,140,0
2020.5.1,0,10s,590,0
2020.5.1,0,20s,2957,0
2020.5.1,0,30s,1159,2
2020.5.1,0,40s,1429,3
2020.5.1,0,50s,1956,15
2020.5.1,0,60s,1348,35
2020.5.1,0,70s,709,75
2020.5.1,0,80s,486,118
2020.5.2,0,0s,140,0
2020.5.2,0,10s,590,0
2020.5.2,0,20s,2960,0
2020.5.2,0,30s,1160,2
2020.5.2,0,40s,1430,3
2020.5.2,0,50s,1956,15
2020.5.2,0,60s,1349,35
2020.5.2,0,70s,709,75
2020.5.2,0,80s,486,120
2020.5.3,0,0s,140,0
2020.5.3,0,10s,591,0
2020.5.3,0,20s,2962,0
2020.5.3,0,30s,1163,2
2020.5.3,0,40s,1432,3
2020.5.3,0,50s,1956,15
2020.5.3,0,60s,1351,35
2020.5.3,0,70s,710,75
2020.5.3,0,80s,488,120
2020.5.4,0,0s,140,0
2020.5.4,0,10s,591,0
2020.5.4,0,20s,2964,0
2020.5.4,0,30s,1164,2
2020.5.4,0,40s,1435,3
2020.5.4,0,50s,1956,15
2020.5.4,0,60s,1353,36
2020.5.4,0,70s,710,76
2020.5.4,0,80s,488,120
2020.5.5,0,0s,140,0
2020.5.5,0,10s,591,0
2020.5.5,0,20s,2964,0
2020.5.5,0,30s,1165,2
2020.5.5,0,40s,1436,3
2020.5.5,0,50s,1957,15
2020.5.5,0,60s,1353,36
2020.5.5,0,70s,710,76
2020.5.5,0,80s,488,122
2020.5.6,0,0s,140,0
2020.5.6,0,10s,591,0
2020.5.6,0,20s,2964,0
2020.5.6,0,30s,1166,2
2020.5.6,0,40s,1436,3
2020.5.6,0,50s,1957,15
2020.5.6,0,60s,1354,36
2020.5.6,0,70s,710,77
2020.5.6,0,80s,488,122
2020.5.7,0,0s,140,0
2020.5.7,0,10s,592,0
2020.5.7,0,20s,2966,0
2020.5.7,0,30s,1167,2
2020.5.7,0,40s,1436,3
2020.5.7,0,50s,1957,15
2020.5.7,0,60s,1354,37
2020.5.7,0,70s,710,77
2020.5.7,0,80s,488,122
2020.5.8,0,0s,141,0
2020.5.8,0,10s,592,0
2020.5.8,0,20s,2967,0
2020.5.8,0,30s,1174,2
2020.5.8,0,40s,1438,3
2020.5.8,0,50s,1957,15
2020.5.8,0,60s,1355,37
2020.5.8,0,70s,710,77
2020.5.8,0,80s,488,122
2020.5.9,0,0s,141,0
2020.5.9,0,10s,594,0
2020.5.9,0,20s,2979,0
2020.5.9,0,30s,1177,2
2020.5.9,0,40s,1438,3
2020.5.9,0,50s,1958,15
2020.5.9,0,60s,1355,37
2020.5.9,0,70s,710,77
2020.5.9,0,80s,488,122
2020.5.10,0,0s,141,0
2020.5.10,0,10s,597,0
2020.5.10,0,20s,2998,0
2020.5.10,0,30s,1180,2
2020.5.10,0,40s,1442,3
2020.5.10,0,50s,1960,15
2020.5.10,0,60s,1357,37
2020.5.10,0,70s,711,77
2020.5.10,0,80s,488,122
2020.5.11,0,0s,141,0
2020.5.11,0,10s,598,0
2020.5.11,0,20s,3019,0
2020.5.11,0,30s,1188,2
2020.5.11,0,40s,1446,3
2020.5.11,0,50s,1960,15
2020.5.11,0,60s,1358,37
2020.5.11,0,70s,711,77
2020.5.11,0,80s,488,122
2020.5.12,0,0s,142,0
2020.5.12,0,10s,602,0
2020.5.12,0,20s,3029,0
2020.5.12,0,30s,1194,2
2020.5.12,0,40s,1448,3
2020.5.12,0,50s,1963,15
2020.5.12,0,60s,1358,37
2020.5.12,0,70s,711,77
2020.5.12,0,80s,489,124
2020.5.13,0,0s,143,0
2020.5.13,0,10s,603,0
2020.5.13,0,20s,3042,0
2020.5.13,0,30s,1199,2
2020.5.13,0,40s,1450,3
2020.5.13,0,50s,1964,15
2020.5.13,0,60s,1359,37
2020.5.13,0,70s,712,77
2020.5.13,0,80s,490,125
2020.5.14,0,0s,143,0
2020.5.14,0,10s,614,0
2020.5.14,0,20s,3056,0
2020.5.14,0,30s,1202,2
2020.5.14,0,40s,1451,3
2020.5.14,0,50s,1964,15
2020.5.14,0,60s,1359,38
2020.5.14,0,70s,712,77
2020.5.14,0,80s,490,125
2020.5.15,0,0s,145,0
2020.5.15,0,10s,617,0
2020.5.15,0,20s,3066,0
2020.5.15,0,30s,1207,2
2020.5.15,0,40s,1453,3
2020.5.15,0,50s,1965,15
2020.5.15,0,60s,1361,38
2020.5.15,0,70s,714,77
2020.5.15,0,80s,490,125
2020.5.16,0,0s,147,0
2020.5.16,0,10s,619,0
2020.5.16,0,20s,3074,0
2020.5.16,0,30s,1209,2
2020.5.16,0,40s,1454,3
2020.5.16,0,50s,1966,15
2020.5.16,0,60s,1364,38
2020.5.16,0,70s,714,77
2020.5.16,0,80s,490,127
2020.5.17,0,0s,147,0
2020.5.17,0,10s,620,0
2020.5.17,0,20s,3079,0
2020.5.17,0,30s,1211,2
2020.5.17,0,40s,1457,3
2020.5.17,0,50s,1967,15
2020.5.17,0,60s,1364,38
2020.5.17,0,70s,715,77
2020.5.17,0,80s,490,127
2020.5.18,0,0s,147,0
2020.5.18,0,10s,621,0
2020.5.18,0,20s,3082,0
2020.5.18,0,30s,1215,2
2020.5.18,0,40s,1462,3
2020.5.18,0,50s,1968,15
2020.5.18,0,60s,1365,38
2020.5.18,0,70s,715,78
2020.5.18,0,80s,490,127
2020.5.19,0,0s,148,0
2020.5.19,0,10s,621,0
2020.5.19,0,20s,3087,0
2020.5.19,0,30s,1215,2
2020.5.19,0,40s,1462,3
2020.5.19,0,50s,1971,15
2020.5.19,0,60s,1368,38
2020.5.19,0,70s,716,78
2020.5.19,0,80s,490,127
2020.5.20,0,0s,148,0
2020.5.20,0,10s,627,0
2020.5.20,0,20s,3100,0
2020.5.20,0,30s,1219,2
2020.5.20,0,40s,1468,3
2020.5.20,0,50s,1972,15
2020.5.20,0,60s,1369,38
2020.5.20,0,70s,717,78
2020.5.20,0,80s,490,127
2020.5.21,0,0s,148,0
2020.5.21,0,10s,631,0
2020.5.21,0,20s,3103,0
2020.5.21,0,30s,1221,2
2020.5.21,0,40s,1471,3
2020.5.21,0,50s,1972,15
2020.5.21,0,60s,1369,38
2020.5.21,0,70s,717,78
2020.5.21,0,80s,490,128
2020.5.22,0,0s,149,0
2020.5.22,0,10s,633,0
2020.5.22,0,20s,3111,0
2020.5.22,0,30s,1225,2
2020.5.22,0,40s,1473,3
2020.5.22,0,50s,1974,15
2020.5.22,0,60s,1369,38
2020.5.22,0,70s,718,78
2020.5.22,0,80s,490,128
2020.5.23,0,0s,149,0
2020.5.23,0,10s,634,0
2020.5.23,0,20s,3113,0
2020.5.23,0,30s,1231,2
2020.5.23,0,40s,1474,3
2020.5.23,0,50s,1983,15
2020.5.23,0,60s,1372,39
2020.5.23,0,70s,718,78
2020.5.23,0,80s,491,129
2020.5.24,0,0s,149,0
2020.5.24,0,10s,636,0
2020.5.24,0,20s,3117,0
